"","ResidntCntry","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean","HDI","category"
"1","Albania",45,"Female","No Kids","ltuni","full-time",150000,"",1,0,"Large Town","Single","0",0,3,3,5,3,3,3,1,2,1,2,2,2,2,1,2,3,2,2,1,5,5,3,2,2,5,4,5,5,5,1,3,4,5,5,5,4,3,4,4,4,3,3,3,4,2,"yes","no",3.4,2.06666666666667,3.9,3,0.764,"Medium-high human development index"
"2","Albania",67.5,"Male","Yes Kids","deg","part-time",87500,"Media Consultant",4,0,"Large-City","Divorced","0",2,4,3,2,2,1,4,1,5,1,2,1,1,3,2,3,3,1,3,1,5,4,1,2,2,3,2,2,2,4,1,2,4,4,4,4,4,4,3,4,4,3,4,3,5,4,"yes","no",2.4,2.4,3,3.8,0.764,"Medium-high human development index"
"3","Algeria",37.5,"Female","No Kids","deg","full-time",67500,"",9,6,"Village","Married","0",0,4,4,5,5,4,1,2,5,4,2,3,3,3,1,3,5,3,2,3,3,4,2,4,3,4,5,2,5,3,1,5,3,1,3,4,5,4,3,2,5,5,5,5,3,3,"yes","no",4.4,2.86666666666667,3.4,4.2,0.745,"Medium-high human development index"
"4","Algeria",55,"Female","Yes Kids","dip","full-time",55000,"Assoc. Governmental Program Analyst",28,0,"Large-City","Married","0",4,3,2,1,1,1,2,1,1,3,3,5,1,2,3,3,1,1,1,2,3,3,1,1,3,4,1,2,2,3,1,3,3,2,2,3,3,2,3,3,2,3,3,4,4,5,"yes","no",1.6,2.13333333333333,2.35,3.8,0.745,"Medium-high human development index"
"5","Algeria",45,"Male","Yes Kids","ma","full-time",35000,"",10,0,"Village","Married","0",0,4,4,5,4,4,4,1,4,1,3,3,4,2,3,3,3,1,5,3,3,3,2,4,3,3,4,4,2,4,3,2,4,4,2,4,4,4,4,4,4,3,3,4,4,4,"yes","yes",4.2,2.86666666666667,3.4,3.6,0.745,"Medium-high human development index"
"6","Andorra",55,"Male","Yes Kids","ma","full-time",250000,"Finance",23,0,"Large-City","Married","0",5,2,2,2,2,2,1,2,3,2,2,2,2,3,2,2,4,4,3,2,2,3,2,2,2,2,2,3,3,3,2,2,3,2,2,2,3,4,3,2,4,3,4,4,4,3,"no","no",2,2.4,2.55,3.6,0.858,"Medium-high human development index"
"7","Andorra",80,"Male","No Kids","ma","retired",45000,"retired",17,0,"Medium-Sized","Single","0",0,2,1,1,2,1,1,1,3,2,1,1,1,1,3,1,2,2,1,1,1,3,3,1,1,1,1,2,1,3,1,5,3,2,2,1,4,4,1,1,1,4,4,4,4,4,"no","no",1.4,1.46666666666667,2.05,4,0.858,"Medium-high human development index"
"8","Argentina",45,"Male","Yes Kids","deg","full-time",55000,"",7,0,"Village","Married","1",2,4,4,4,3,2,1,1,3,4,3,5,5,3,4,3,2,3,3,3,2,4,3,1,3,2,2,2,3,4,2,2,4,3,3,4,3,2,4,4,4,4,4,3,4,3,"yes","yes",3.4,3,2.95,3.6,0.827,"Medium-high human development index"
"9","Argentina",16.5,"Female","No Kids","lthigh","student",10000,"",1,0,"Small Town","Single","0",0,2,3,2,1,1,3,2,3,2,3,5,3,3,2,4,3,3,4,3,1,4,3,2,3,2,2,5,4,4,2,2,4,3,3,4,4,3,3,4,4,3,4,4,4,2,"yes","no",1.8,2.93333333333333,3.25,3.4,0.827,"Medium-high human development index"
"10","Argentina",67.5,"Male","Yes Kids","","part-time",150000,"BUSINESS CONSULTA",12,0,"Small Town","Married","3",0,3,3,3,3,3,1,2,4,4,3,2,3,3,3,3,1,3,2,3,3,3,3,3,1,2,1,2,2,3,4,2,3,2,4,3,5,3,2,2,2,3,3,4,4,3,"","no",3,2.66666666666667,2.6,3.4,0.827,"Medium-high human development index"
"11","Argentina",32.5,"Female","No Kids","deg","full-time",67500,"manager",3,0,"Large-City","Single","0",0,2,1,2,2,2,1,1,1,1,5,4,1,2,2,2,3,1,2,1,1,3,2,1,4,3,2,2,2,3,5,4,1,1,1,2,2,2,2,3,2,3,4,3,4,4,"yes","no",1.8,1.86666666666667,2.35,3.6,0.827,"Medium-high human development index"
"12","Australia",45,"Male","Yes Kids","deg","full-time",67500,"Physiotherapst",13,0,"Large-City","Married","1",3,4,3,2,3,3,1,3,3,3,4,4,4,4,4,5,3,3,2,3,3,5,3,4,4,3,3,4,4,4,4,4,5,2,3,4,5,2,4,4,5,3,4,3,5,3,"yes","yes",3,3.26666666666667,3.8,3.6,0.939,"High human development index"
"13","Australia",23,"Male","No Kids","deg","student",10000,"0",0,0,"Small Town","Single","0",0,3,4,4,4,4,1,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,3,2,5,1,1,1,2,5,4,4,2,1,2,3,4,3,3,4,4,2,2,2,2,1,"yes","yes",3.8,3.66666666666667,2.9,1.8,0.939,"High human development index"
"14","Australia",37.5,"Male","Yes Kids","deg","full-time",55000,"Technical Writer",7,6,"Large-City","Married","1",1,3,2,3,1,1,1,1,2,2,3,3,3,3,2,3,2,2,1,2,2,3,1,1,2,1,2,3,3,3,1,1,4,1,2,3,2,2,3,2,3,2,2,2,4,2,"yes","yes",2,2.13333333333333,2.15,2.4,0.939,"High human development index"
"15","Australia",37.5,"Male","Yes Kids","deg","full-time",150000,"engineer",9,0,"Large-City","Married","1",1,5,5,5,5,5,2,2,3,2,5,3,5,5,5,5,2,2,3,2,4,5,2,2,3,3,4,4,4,5,2,2,5,3,2,5,3,3,5,5,4,2,2,2,2,2,"yes","yes",5,3.33333333333333,3.55,2,0.939,"High human development index"
"16","Australia",45,"Female","No Kids","phd","full-time",150000,"manager",1,0,"Large-City","Married","0",0,3,2,4,3,3,1,1,4,5,3,1,2,3,1,5,2,3,2,2,3,3,2,3,1,1,3,3,3,2,3,3,3,1,3,3,4,2,5,3,3,3,5,2,3,3,"yes","no",3,2.53333333333333,2.7,3.2,0.939,"High human development index"
"17","Australia",28,"Male","No Kids","deg","full-time",67500,"Market Analyst",1,6,"Large-City","Single","0",0,4,4,4,4,4,1,1,2,3,5,5,4,4,5,5,3,3,2,2,3,5,4,4,4,4,3,4,4,3,2,4,4,2,4,4,4,4,4,4,4,2,3,2,2,2,"yes","yes",4,3.2,3.75,2.2,0.939,"High human development index"
"18","Australia",32.5,"Female","No Kids","ma","full-time",45000,"Office Manager / Accountant",6,0,"Large-City","Single","0",0,2,2,3,1,1,1,1,3,3,1,1,1,2,2,2,3,1,2,1,1,1,1,1,3,1,2,2,2,2,1,4,2,3,3,2,2,2,3,2,3,3,2,3,4,2,"no","no",1.8,1.66666666666667,2.1,2.8,0.939,"High human development index"
"19","Australia",22,"Female","No Kids","deg","full-time",25000,"Administration Assistant",0,5,"Large-City","Single","0",0,4,4,4,3,3,1,2,4,5,4,3,5,3,4,5,2,3,3,1,5,3,1,3,4,1,2,5,3,4,4,4,4,1,2,3,3,2,4,3,3,3,3,2,2,1,"yes","yes",3.6,3.33333333333333,2.95,2.2,0.939,"High human development index"
"20","Australia",28,"Female","No Kids","deg","part-time",67500,"Market Analyst",2,0,"Large Town","Single","0",0,1,4,2,2,2,5,3,1,5,4,5,5,4,4,2,4,2,5,5,5,1,5,3,4,5,3,5,3,4,3,3,4,5,5,4,5,5,4,4,4,4,5,4,3,3,"yes","yes",2.2,3.93333333333333,3.95,3.8,0.939,"High human development index"
"21","Australia",37.5,"Male","No Kids","deg","student",10000,"0",2,0,"Large-City","Single","0",0,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,1,1,4,5,5,5,5,1,5,1,1,1,1,"yes","yes",5,4.66666666666667,3.95,1.8,0.939,"High human development index"
"22","Australia",45,"Male","Yes Kids","deg","full-time",87500,"IT Manager",13,0,"Small City","Married","1",2,3,3,4,3,3,2,3,5,4,3,4,4,4,3,4,4,5,5,4,3,4,1,3,5,2,2,3,4,4,4,2,3,4,4,3,4,2,4,3,4,4,4,4,4,3,"yes","yes",3.2,3.8,3.25,3.8,0.939,"High human development index"
"23","Australia",24,"Female","Yes Kids","high","part-time",25000,"Customer Service",6,2,"Large-City","Single","1",0,3,3,5,2,2,1,1,1,4,4,1,2,3,3,5,4,3,5,3,2,5,1,2,5,3,4,5,4,4,5,5,3,1,4,3,2,2,4,5,5,4,4,4,4,5,"yes","yes",3,2.8,3.6,4.2,0.939,"High human development index"
