"","Age","Gender","Kids","Edu","WorkStatus","AnnualIncome","Occupation","DurationYear","DurationMon","CommSize","ResidntCntry","MaritlStatus","NoOfSons","NoOfDghtrs","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","SelfProcast","OtherProcast","DPMean","AIPMean","GPMean","SWLSMean"
"1",67.5,"Male","Yes Kids","ma","retired",25000,"",9,0,"Large-City","El Salvador","Divorced","0",5,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,5,5,5,5,5,5,"no","no",1.4,1.4,1.6,5
"2",45,"Male","Yes Kids","deg","part-time",35000,"",1,0,"Village","Bolivia","Married","1",1,3,4,3,3,3,3,1,4,3,3,4,3,3,3,3,4,2,2,2,4,4,2,2,2,2,2,4,2,4,2,3,4,2,2,3,4,3,3,4,4,3,4,4,4,3,"yes","yes",3.2,2.93333333333333,2.9,3.6
"3",19,"Female","No Kids","dip","student",NA,"",0,0,"Large Town","Cyprus","Single","0",0,5,5,2,3,3,5,4,4,5,5,5,5,4,5,5,4,3,5,4,3,5,2,2,4,3,1,3,2,5,4,5,5,3,4,5,2,3,5,5,4,2,2,2,3,4,"yes","yes",3.6,4.4,3.6,2.6
"4",37.5,"Male","Yes Kids","ma","full-time",45000,"",14,0,"Large Town","Czech Republic","Married","0",1,3,3,3,3,3,2,1,4,3,5,3,4,5,4,5,4,3,4,2,1,4,1,3,3,2,3,4,5,4,1,3,4,3,3,4,4,3,4,5,1,2,4,2,2,2,"yes","yes",3,3.33333333333333,3.2,2.4
"5",28,"Female","No Kids","deg","full-time",35000,"",1,0,"Village","Czech Republic","Single","0",0,3,3,2,1,1,1,1,3,3,2,2,2,2,1,1,2,1,2,1,2,4,1,2,4,5,2,4,2,4,1,2,3,2,4,3,2,3,2,3,4,4,4,4,3,4,"no","no",2,1.73333333333333,2.85,3.8
"6",23,"Female","No Kids","deg","full-time",15000,"",1,0,"Small Town","Czech Republic","Single","0",0,3,4,3,2,2,2,5,5,5,5,3,5,4,4,5,3,5,4,5,5,5,5,2,5,4,4,5,4,4,3,4,4,3,4,4,4,4,4,4,4,3,2,4,4,3,"yes","yes",2.8,4.33333333333333,4,3.2
"7",67.5,"Female","No Kids","ma","part-time",NA,"",8,0,"Large Town","Morocco","Divorced","0",0,3,4,3,2,2,3,1,1,2,3,3,1,4,5,5,3,2,3,1,4,4,1,1,1,1,2,3,2,4,1,4,2,3,2,4,3,1,4,4,2,3,4,3,3,2,"yes","yes",2.8,2.73333333333333,2.45,3
"9",24,"Female","No Kids","ma","full-time",250000,"",2,0,"Village","Ukraine","Single","0",0,2,2,4,4,4,3,3,3,4,4,2,2,4,2,2,4,4,4,3,3,3,4,3,4,2,2,4,2,4,1,5,2,3,2,1,5,5,1,1,3,4,4,5,4,4,"no","no",3.2,3.13333333333333,2.85,4.2
"10",45,"Male","Yes Kids","ma","full-time",87500,"",14,0,"Village","Qatar","Married","0",0,5,5,5,5,5,3,3,5,3,5,1,5,5,5,5,4,4,4,4,5,5,3,3,1,5,5,5,4,5,3,5,5,4,4,4,5,3,5,5,5,1,4,2,4,1,"yes","yes",5,4.06666666666667,4.2,2.4
"11",32.5,"Male","Yes Kids","dip","full-time",25000,"",6,0,"Rural/Country","Antigua","Divorced","0",0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,2,4,2,4,2,2,3,3,4,4,4,2,2,4,2,4,2,2,2,2,2,"yes","yes",3,3,3,2
"12",55,"Male","Yes Kids","phd","full-time",35000,"",1,0,"Village","Vietnam","Married","0",2,3,3,4,2,2,4,3,2,4,4,4,4,2,4,4,1,2,4,4,4,3,4,2,2,4,2,3,3,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"no","yes",2.8,3.33333333333333,3.35,4
